file,group,NavigationLink,Form,List,ScrollView,Button,Toggle,Picker,Slider,TextField,ForEach,GeometryReader,ZStack,VStack,HStack,@EnvironmentObject,@ObservedObject,sheet(,fullScreenCover,alert(
ControlBar/BatteryView.swift,ControlBar,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0
ControlBar/ControlBarLandscapeView.swift,ControlBar,0,0,0,3,110,0,0,0,0,3,0,0,4,6,0,9,1,0,0
ControlBar/ControlBarPortraitView.swift,ControlBar,0,0,0,3,87,0,0,0,0,2,0,0,3,4,2,7,1,0,0
ControlBar/ControlBarUtils.swift,ControlBar,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ControlBar/QuickButton/Chat/QuickButtonChatChatterInfoView.swift,ControlBar,0,0,0,1,2,0,0,0,0,1,0,1,4,4,0,0,0,0,0
ControlBar/QuickButton/Chat/QuickButtonChatModerationView.swift,ControlBar,11,5,0,0,13,3,7,0,10,13,0,0,1,5,1,2,1,0,0
ControlBar/QuickButton/Chat/QuickButtonChatUrlView.swift,ControlBar,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ControlBar/QuickButton/Chat/QuickButtonChatView.swift,ControlBar,1,2,1,3,105,1,0,0,2,6,2,3,14,15,0,20,0,0,1
ControlBar/QuickButton/QuickButtonAutoSceneSwitcherView.swift,ControlBar,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ControlBar/QuickButton/QuickButtonBitrateView.swift,ControlBar,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,3,0,0,0
ControlBar/QuickButton/QuickButtonDjiDevicesView.swift,ControlBar,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0
ControlBar/QuickButton/QuickButtonGoProView.swift,ControlBar,1,1,0,1,7,0,7,0,0,4,1,0,4,5,0,6,0,0,0
ControlBar/QuickButton/QuickButtonLiveView.swift,ControlBar,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ControlBar/QuickButton/QuickButtonLutsView.swift,ControlBar,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0
ControlBar/QuickButton/QuickButtonMacrosView.swift,ControlBar,1,1,1,0,3,0,0,0,0,1,0,0,0,1,0,2,0,0,0
ControlBar/QuickButton/QuickButtonMicView.swift,ControlBar,0,1,3,0,4,1,0,0,0,1,0,0,1,1,0,4,0,0,0
ControlBar/QuickButton/QuickButtonObsView.swift,ControlBar,1,2,0,0,65,1,5,0,0,2,0,0,0,1,3,16,0,0,0
ControlBar/QuickButton/QuickButtonSceneWidgetsView.swift,ControlBar,1,1,1,0,5,1,0,0,0,1,0,0,0,0,1,4,0,0,0
ControlBar/QuickButton/QuickButtonStreamSwitcherView.swift,ControlBar,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
ControlBar/QuickButtonsView.swift,ControlBar,0,0,0,0,267,0,3,0,0,0,0,7,1,0,1,5,0,0,0
ControlBar/RemoteControlAssistant/ControlBarRemoteControlAssistantView.swift,ControlBar,3,7,0,0,15,23,9,1,1,7,0,2,8,8,1,19,1,1,0
ControlBar/StreamButton.swift,ControlBar,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,2,1,0,0
ControlBar/ThermalStateSheetView.swift,ControlBar,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
ExternalDisplay/ExternalDisplayView.swift,ExternalDisplay,0,0,0,1,0,0,0,0,0,3,1,1,3,4,3,5,0,0,0
Main/LockScreenView.swift,Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Main/MacKeyPressView.swift,Main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Main/SnapshotCountdownView.swift,Main,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Main/StealthModeView.swift,Main,0,0,0,0,38,0,0,0,0,0,0,1,4,4,0,4,0,0,0
MainView.swift,MainView.swift,0,0,0,2,65,0,0,0,1,1,4,7,8,8,6,8,3,0,0
Settings/About/AboutAttributionsSettingsView.swift,Settings,2,1,0,2,0,0,0,0,0,4,0,0,4,2,0,0,0,0,0
Settings/About/AboutSettingsView.swift,Settings,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Settings/About/AboutVersionHistorySettingsView.swift,Settings,0,1,4,1,12,27,0,2,0,2,0,0,2,1,0,0,0,0,1
Settings/Audio/AudioSettingsView.swift,Settings,2,1,0,0,1,2,0,2,0,0,0,0,1,3,1,7,0,0,0
Settings/BitratePresets/BitratePresetsPresetSettingsView.swift,Settings,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Settings/BitratePresets/BitratePresetsSettingsView.swift,Settings,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Settings/BlackSharkCoolers/BlackSharkCoolerDeviceScannerSettingsView.swift,Settings,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Settings/BlackSharkCoolers/BlackSharkCoolerDeviceSettingsView.swift,Settings,2,1,0,0,0,2,1,1,0,0,0,0,0,2,1,4,0,0,0
Settings/BlackSharkCoolers/BlackSharkCoolerDevicesSettingsView.swift,Settings,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Settings/Camera/CameraControls/CameraControlsView.swift,Settings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/Camera/CameraSettingsView.swift,Settings,5,4,3,0,3,1,11,0,0,6,0,0,0,0,5,7,1,0,0
Settings/Camera/FixedHorizon/FixedHorizonView.swift,Settings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
Settings/Camera/MirrorFrontCamera/MirrorFrontCameraView.swift,Settings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Camera/TapScreenToFocus/TapScreenToFocusSettingsView.swift,Settings,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Settings/Camera/VideoStabilization/VideoStabilizationSettingsView.swift,Settings,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Settings/Camera/Zoom/ZoomPresetSettingsView.swift,Settings,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Settings/Camera/Zoom/ZoomSettingsView.swift,Settings,0,1,2,0,4,0,0,1,0,2,0,0,0,1,1,1,0,0,0
